"outcome_type","animal_type","mixed_purebred","color_group","health_status","sex","neutered","age_norm","age_group"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.727272727272727,"Senior"
"Not_Adopted","Dog","Mixed","Black","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.636363636363636,"Senior"
"Adopted","Dog","Purebred","Black","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.772727272727273,"Senior"
"Not_Adopted","Cat","Purebred","Black","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.863636363636364,"Senior"
"Not_Adopted","Dog","Purebred","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.681818181818182,"Senior"
"Not_Adopted","Dog","Purebred","Brown","Sick_Aged_Pregnant","Male","Neutered_Spayed",0.681818181818182,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.727272727272727,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.681818181818182,"Senior"
"Not_Adopted","Dog","Purebred","Brown","Sick_Aged_Pregnant","Male","Intact",0.590909090909091,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.681818181818182,"Senior"
"Not_Adopted","Dog","Purebred","Light","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.636363636363636,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.772727272727273,"Senior"
"Not_Adopted","Cat","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.636363636363636,"Senior"
"Not_Adopted","Cat","Mixed","Light","Healthy","Male","Neutered_Spayed",0.909090909090909,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.590909090909091,"Senior"
"Not_Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Dog","Mixed","Light","Healthy","Female","Neutered_Spayed",0.5,"Senior"
"Not_Adopted","Dog","Mixed","Light","Healthy","Male","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Dog","Mixed","Black","Healthy","Male","Neutered_Spayed",0.545454545454545,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Male","Neutered_Spayed",0.545454545454545,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Cat","Mixed","Black","Healthy","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.590909090909091,"Senior"
"Adopted","Dog","Mixed","Brown","Healthy","Female","Neutered_Spayed",0.454545454545455,"Senior"
"Adopted","Cat","Mixed","Brown","Healthy","Male","Neutered_Spayed",0.590909090909091,"Senior"
"Not_Adopted","Dog","Mixed","Brown","Sick_Aged_Pregnant","Female","Neutered_Spayed",0.545454545454545,"Senior"
"Not_Adopted","Dog","Mixed","Black","Healthy","Female","Neutered_Spayed",0.590909090909091,"Senior"
